release_version,sample_id,question_zh,food_entity_original,food_category_code,food_category_name,category_mapping_source,category_mapping_note,gold_items,recipe_gold_label,additive_count,bucket_primary,bucket_multi,difficulty_level,correction_applied
partial-dataset-v1.0.0,14,请核查以下配方的合规性，去皮水果。 抗坏血酸钙：0.9g/kg、D-异抗坏血酸及其钠盐：1g/kg,去皮水果,04.01.01.03,去皮或预切的鲜水果,manual_mapping_or_correction,alias mapping: peeled fruit,D-异抗坏血酸及其钠盐: RISK_FORBIDDEN | 抗坏血酸钙: SAFE,RISK,2,N-type,N-type,L2_SINGLE,False
partial-dataset-v1.0.0,15,核查以下冻干香菇配方是否合规：乳酸链球菌素 0.4g/kg、双乙酰酒石酸单双甘油酯 3.75g/kg。,冷冻食用菌和藻类,04.03.02.01,冷冻食用菌和藻类,category_name_exact,,乳酸链球菌素: SAFE | 双乙酰酒石酸单双甘油酯: RISK_FORBIDDEN,RISK,2,Easy-type,Easy-type,L1_EASY,False
partial-dataset-v1.0.0,16,请核查调香葡萄酒配方是否合规：焦糖色(亚硫酸铵法) 75.0g/L 及L(+)-酒石酸 3g/L、焦糖色(加氨生产) 55g/L的使用是否符合GB2760标准。,调香葡萄酒,15.03.01.03,调香葡萄酒,category_name_exact,,L(+)-酒石酸: SAFE | 焦糖色(亚硫酸铵法): RISK_OVERLIMIT,RISK,2,O-type,O-type,L2_SINGLE,False
partial-dataset-v1.0.0,17,请核查以下配方是否符合 GB2760：盐渍水果。β-胡萝卜素 0.6g/kg、磷酸化二淀粉磷酸酯 0.1g/kg、纽甜 0.15g/kg。,醋、油或盐渍水果,04.01.02.03,醋、油或盐渍水果,category_name_exact,,β-胡萝卜素: SAFE | 纽甜: RISK_OVERLIMIT | 磷酸化二淀粉磷酸酯: RISK_FORBIDDEN,RISK,3,N-type,N-type|O-type,L3_MIXED,False
partial-dataset-v1.0.0,18,请核查胶原蛋白肠衣配方中添加剂使用的合规性：山梨酸及其钾盐 0.75g/kg、胭脂红及其铝色淀 0.02g/kg、诱惑红及其铝色淀 0.06g/kg。,胶原蛋白肠衣,16.03,胶原蛋白肠衣,category_name_exact,,胭脂红及其铝色淀: SAFE | 山梨酸及其钾盐: RISK_OVERLIMIT | 诱惑红及其铝色淀: RISK_OVERLIMIT,RISK,3,O-type,O-type,L2_SINGLE,False
partial-dataset-v1.0.0,19,核查以下冰棒配方是否符合 GB2760：双乙酰酒石酸单双甘油酯 6.0g/kg、天门冬酰苯丙氨酸甲酯乙酰磺胺酸 0.544g/kg。,风味冰、冰棍类,03.03,风味冰、冰棍类,category_name_exact,,双乙酰酒石酸单双甘油酯: SAFE | 天门冬酰苯丙氨酸甲酯乙酰磺胺酸: SAFE,SAFE,2,H-type,H-type,L2_SINGLE,False
partial-dataset-v1.0.0,20,请核查以下乳及乳制品配方的合规性：乳酸链球菌素 0.75g/kg、海藻酸丙二醇酯 1.8g/kg、甲壳素 0.1g/kg，依据GB2760标准。,乳及乳制品(13.0特殊膳食用食品涉及品种 除 外 )(01.01.01 巴 氏 杀 菌 乳、01.01.02灭菌乳和高温杀菌乳、01.02.01发酵 乳、01.03.01 乳 粉 和 奶 油 粉 和01.05.01稀奶油除外),01.0,乳及乳制品(13.0特殊膳食用食品涉及品种除外),rule_category_name_exact,,海藻酸丙二醇酯: SAFE | 乳酸链球菌素: RISK_OVERLIMIT | 甲壳素(又名几丁质): RISK_FORBIDDEN,RISK,3,N-type,N-type|O-type,L3_MIXED,False
partial-dataset-v1.0.0,21,请核查油炸坚果配方是否符合规定：茶多酚 0.3g/kg 、丙二醇脂肪酸酯：2.1g/kg、二丁基羟基甲苯：0.15g/kg、红花黄：0.3g/kg、亮蓝及其铝色淀：0.03g/kg,熟制坚果与籽类 (仅限油炸坚果与籽类),04.05.02.01,熟制坚果与籽类,rule_category_name_exact,,丙二醇脂肪酸酯: RISK_OVERLIMIT | 茶多酚: RISK_OVERLIMIT | 二丁基羟基甲苯: SAFE | 红花黄: SAFE | 亮蓝及其铝色淀: SAFE,RISK,5,Easy-type,Easy-type,L1_EASY,False
partial-dataset-v1.0.0,22,核查发酵青梅中添加以下添加剂是否合规：阿斯巴甜 1.5g/kg、β-胡萝卜素 0.12g/kg、纽甜：0.06g/kg、双乙酰酒石酸单双甘油酯：3.0g/kg。,发酵的水果制品,04.01.02.11,发酵的水果制品,category_name_exact,,β-胡萝卜素: SAFE | 阿斯巴甜: RISK_OVERLIMIT | 纽甜: SAFE | 双乙酰酒石酸单双甘油酯: RISK_OVERLIMIT,RISK,4,Easy-type,Easy-type,L1_EASY,False
partial-dataset-v1.0.0,23,针对【加糖炼乳】，核查以下配方是否合规：酸处理淀粉 0.1g/kg、焦糖色(加氨生产) 1.5g/kg、焦糖色(亚硫酸铵法) 1.5g/kg。,调制炼乳(包括加糖炼乳及使用了非乳原料的调制炼乳等),01.04.02,调制炼乳(包括加糖炼乳及使用了非乳原料的调制炼乳等),category_name_exact,,焦糖色(加氨生产): SAFE | 焦糖色(亚硫酸铵法): RISK_OVERLIMIT | 酸处理淀粉: RISK_FORBIDDEN,RISK,3,N-type,N-type|O-type,L3_MIXED,False
partial-dataset-v1.0.0,24,针对【印度酸辣酱】，核查以下配方是否符合 GB2760：磷酸及磷酸盐 0.1g/kg、阿斯巴甜 0.6g/kg、双乙酰酒石酸单双甘油酯 4.0g/kg。,除04.01.02.05以外的果酱(如印度酸辣酱),04.01.02.07,除04.01.02.05以外的果酱(如印度酸辣酱),category_name_exact,,阿斯巴甜: SAFE | 双乙酰酒石酸单双甘油酯: SAFE | 磷酸及磷酸盐: RISK_FORBIDDEN,RISK,3,N-type,N-type,L2_SINGLE,False
partial-dataset-v1.0.0,25,针对【冰淇淋】，核查以下配方是否符合 GB2760：海藻酸丙二醇酯 0.5g/kg、决明胶 2.0g/kg、羧甲基淀粉钠 0.05g/kg。,冰淇淋,03.01,冰淇淋、雪糕类,manual_mapping_or_correction,alias mapping: ice cream,海藻酸丙二醇酯: SAFE | 决明胶: SAFE | 羧甲基淀粉钠: SAFE,SAFE,3,Easy-type,Easy-type,L1_EASY,False
partial-dataset-v1.0.0,26,请核查香辛料油配方中二氧化硅 12.0g/kg 和双乙酰酒石酸单双甘油酯 0.002g/kg 的使用是否符合 GB2760 标准。,香辛料油,12.09.02,香辛料油,category_name_exact,,二氧化硅: SAFE | 双乙酰酒石酸单双甘油酯: RISK_OVERLIMIT,RISK,2,H-type,H-type|O-type,L3_MIXED,False
partial-dataset-v1.0.0,27,"核查以下可乐配方是否符合GB2760：橡子壳棕 0.8g/kg、咖啡因 0.09g/kg、L(+)-酒石酸,dl-酒石酸 6.0g/kg。",可乐型碳酸饮料,14.04.01,可乐型碳酸饮料,category_name_exact,,"咖啡因: SAFE | 橡子壳棕: SAFE | L(+)-酒石酸,dl-酒石酸: RISK_OVERLIMIT",RISK,3,H-type,H-type|O-type,L3_MIXED,False
partial-dataset-v1.0.0,28,"核查饺子粉中，添加以下配方是否符合规定：蔗糖脂肪酸酯 3.0g/kg、硬脂酰乳酸钠,硬脂酰乳酸钙 3.0g/kg、磷酸及磷酸盐 4.5g/kg。",专用小麦粉(如自发粉、饺子粉等),06.03.01.02,专用小麦粉(如自发粉、饺子粉等),category_name_exact,,"蔗糖脂肪酸酯: SAFE | 硬脂酰乳酸钠,硬脂酰乳酸钙: RISK_OVERLIMIT",RISK,2,H-type,H-type|O-type,L3_MIXED,False
partial-dataset-v1.0.0,29,核查以下配方是否符合 GB2760：天门冬酰苯丙氨酸甲酯 1.5g/kg、乙酰磺胺酸钾 0.5g/kg、丁基羟基茴香醚 0.5g/kg、二丁基羟基甲苯 0.3g/kg，用于夹心饼干。,夹心及装饰类饼干,07.03.01,夹心及装饰类饼干,category_name_exact,,天门冬酰苯丙氨酸甲酯: SAFE | 乙酰磺胺酸钾: SAFE | 丁基羟基茴香醚: RISK_OVERLIMIT | 二丁基羟基甲苯: RISK_OVERLIMIT,RISK,4,H-type,H-type,L2_SINGLE,False
partial-dataset-v1.0.0,30,请核查 乳酸菌饮料配方中吐温类 3.0g/kg及亮蓝及其铝色淀 0.015g/kg、海藻酸丙二醇酯 3.5g/kg、纽甜 0.05g/kg的使用是否符合GB2760标准。,乳酸菌饮料,14.03.01.03,乳酸菌饮料,category_name_exact,,"亮蓝及其铝色淀(包括亮蓝,亮蓝铝色淀): SAFE | 吐温类: RISK_OVERLIMIT | 海藻酸丙二醇酯: SAFE | 纽甜: RISK_OVERLIMIT",RISK,4,H-type,H-type|O-type,L3_MIXED,False
partial-dataset-v1.0.0,31,请核查粉圆配方中添加剂使用的合规性：松香季戊四醇酯 0.1g/kg、石膏 8g/kg、双乙酸钠 2.4g/kg、可溶性大豆多糖 15g/kg。,粉圆,06.05.02.04,粉圆,category_name_exact,,双乙酸钠: SAFE | 石膏: SAFE | 松香季戊四醇酯: RISK_FORBIDDEN | 可溶性大豆多糖: RISK_OVERLIMIT,RISK,4,N-type,H-type|N-type,L3_MIXED,False
partial-dataset-v1.0.0,32,针对【干酪类似品】，请核查以下配方是否符合 GB2760：阿斯巴甜 0.6g/kg、纽甜 0.026g/kg、刺云实胶 10g/kg。,干酪类似品,01.06.05,干酪类似品,category_name_exact,,阿斯巴甜: SAFE | 纽甜: SAFE | 刺云实胶: RISK_OVERLIMIT,RISK,3,H-type,H-type,L2_SINGLE,False
partial-dataset-v1.0.0,33,请核查以下小麦粉配方的添加剂使用是否符合GB2760标准：抗坏血酸 0.16g/kg、富马酸一钠0.1g/kg、磷酸及磷酸盐 6g/kg。,小麦粉,06.03.01,小麦粉,category_name_exact,,抗坏血酸: SAFE | 富马酸一钠: RISK_FORBIDDEN | 磷酸及磷酸盐: RISK_OVERLIMIT,RISK,3,N-type,H-type|N-type,L3_MIXED,False
partial-dataset-v1.0.0,34,请核查果蔬汁(浆)配方中维生素C 0.9g/kg 及二氧化硫及亚硫酸盐 0.04g/kg 的使用是否符合 GB2760 标准。,果蔬汁(浆),14.02.01,果蔬汁(浆),category_name_exact,,维生素C: SAFE | 二氧化硫及亚硫酸盐: SAFE,SAFE,2,Easy-type,Easy-type,L1_EASY,False
partial-dataset-v1.0.0,35,"核查以下配方是否符合GB2760：棒冰。蔗糖脂肪酸酯 2.25g/kg、胭脂虫红及其铝色淀(包括胭脂虫红,胭脂虫红铝色淀) 0.09g/kg。",风味冰、冰棍类,03.03,风味冰、冰棍类,category_name_exact,,"胭脂虫红及其铝色淀(包括胭脂虫红,胭脂虫红铝色淀): SAFE | 蔗糖脂肪酸酯: RISK_OVERLIMIT",RISK,2,H-type,H-type|O-type,L3_MIXED,False
partial-dataset-v1.0.0,36,请核查以下配方是否符合GB2760：冷冻水果。阿斯巴甜 1.2g/kg、纽甜 0.08g/kg、爱德万甜 0.15g/kg、植酸 0.1g/kg。,冷冻水果,04.01.02.01,冷冻水果,category_name_exact,,阿斯巴甜: SAFE | 纽甜: SAFE | 爱德万甜: RISK_OVERLIMIT | 植酸: SAFE,RISK,4,H-type,H-type,L2_SINGLE,False
partial-dataset-v1.0.0,37,请核查谷类和淀粉类甜品配方中添加剂的合规性：β-胡萝卜素 0.6g/kg、甲基纤维素 0.1g/kg、双乙酰酒石酸单双甘油酯 4.0g/kg。,谷类和淀粉类甜品(如米布丁、木薯布丁),06.09,谷类和淀粉类甜品(如米布丁、木薯布丁),category_name_exact,,β-胡萝卜素: SAFE | 双乙酰酒石酸单双甘油酯: SAFE | 甲基纤维素: RISK_FORBIDDEN,RISK,3,N-type,N-type,L2_SINGLE,False
partial-dataset-v1.0.0,38,核查以下干酪类似品配方是否符合GB2760：β-胡萝卜素 0.8g/kg、阿斯巴甜 1.5g/kg、山梨酸及其钾盐 0.9g/kg、胭脂虫红及其铝色淀 0.15g/kg。,调制炼乳(包括加糖炼乳及使用了非乳原料的调制炼乳等),01.06.05,干酪类似品,manual_mapping_or_correction,corrected: question specifies cheese analogue,β-胡萝卜素: SAFE | 阿斯巴甜: RISK_OVERLIMIT | 山梨酸及其钾盐: SAFE | 胭脂虫红及其铝色淀: RISK_OVERLIMIT,RISK,4,H-type,H-type|O-type,L3_MIXED,True
partial-dataset-v1.0.0,39,请核查以下冰棍配方是否符合GB2760：苯甲酸及其钠盐 0.8g/kg、山梨酸及其钾盐 0.3g/kg。,风味冰、冰棍类,03.03,风味冰、冰棍类,category_name_exact,,山梨酸及其钾盐: SAFE | 苯甲酸及其钠盐: SAFE,SAFE,2,Easy-type,Easy-type,L1_EASY,False
partial-dataset-v1.0.0,40,请核查以下配方是否符合GB2760：阿斯巴甜 0.6g/kg、双乙酰酒石酸单双甘油酯 3.75g/kg、安赛蜜 0.25g/kg，用于油炸藻类。,经水煮或油炸的藻类,04.03.02.05,经水煮或油炸的藻类,category_name_exact,,阿斯巴甜: SAFE | 双乙酰酒石酸单双甘油酯: RISK_OVERLIMIT | 安赛蜜: SAFE,RISK,3,H-type,H-type|O-type,L3_MIXED,False
partial-dataset-v1.0.0,41,请核查人造黄油配方中胭脂树橙 0.03g/kg 和栀子黄 1.2g/kg、迷迭香提取物 0.5g/kg、β-胡萝卜素 1.2g/kg 的使用是否符合 GB2760 标准。,人造黄油(人造奶油)及其类似制品(如黄油和人造黄油混合品),02.02.01.02,人造黄油(人造奶油)及其类似制品(如黄油和人造黄油混合品),category_name_exact,,"胭脂树橙(又名红木素,降红木素): SAFE | 栀子黄: SAFE | 迷迭香提取物: SAFE | β-胡萝卜素: RISK_OVERLIMIT",RISK,4,H-type,H-type,L2_SINGLE,False
partial-dataset-v1.0.0,42,请核查木薯布丁中双乙酰酒石酸单双甘油酯 7.5g/kg 和日落黄及其铝色淀 0.012g/kg 的使用是否符合 GB2760 标准。,谷类和淀粉类甜品(如米布丁、木薯布丁),06.09,谷类和淀粉类甜品(如米布丁、木薯布丁),category_name_exact,,"日落黄及其铝色淀(包括日落黄,日落黄铝色淀): SAFE | 双乙酰酒石酸单双甘油酯: RISK_OVERLIMIT",RISK,2,O-type,O-type,L2_SINGLE,False
partial-dataset-v1.0.0,43,核查以下熟化干酪配方是否符合 GB2760：乳酸脂肪酸甘油酯 0.1g/kg、胭脂树橙 0.36g/kg、β-胡萝卜素 1.5g/kg。,熟化干酪,01.06.02,熟化干酪,category_name_exact,,"胭脂树橙(又名红木素,降红木素): SAFE | β-胡萝卜素: RISK_OVERLIMIT | 乳酸脂肪酸甘油酯: RISK_FORBIDDEN",RISK,3,N-type,N-type|O-type,L3_MIXED,False
partial-dataset-v1.0.0,44,"核查以下盐渍黄瓜配方是否符合GB2760标准：L(+)-酒石酸,dl-酒石酸 2g/kg、β-胡萝卜素 0.13g/kg、β-环状糊精 0.6g/kg、纽甜 0.03g/kg。",腌渍的蔬菜,04.02.02.03,腌渍的蔬菜,category_name_exact,,"L(+)-酒石酸,dl-酒石酸: SAFE | β-胡萝卜素: SAFE | β-环状糊精: RISK_OVERLIMIT | 纽甜: RISK_OVERLIMIT",RISK,4,O-type,O-type,L2_SINGLE,True
partial-dataset-v1.0.0,45,请核查以下蛋黄酱配方中甜味剂使用的合规性：纽甜 0.15g/kg、β-胡萝卜素 1.5g/kg、阿斯巴甜 2.5g/kg。,其他蛋制品,12.10.02.01,蛋黄酱、沙拉酱,manual_mapping_or_correction,corrected: question specifies mayonnaise,纽甜: RISK_OVERLIMIT | β-胡萝卜素: SAFE | 阿斯巴甜: RISK_OVERLIMIT,RISK,3,H-type,H-type|O-type,L3_MIXED,True
partial-dataset-v1.0.0,46,核查以下红腐乳配方是否符合 GB2760：甜蜜素 0.5g/kg、蔗糖素 1.5g/kg、脱氢乙酸及其钠盐 0.25g/kg。,腐乳类,04.04.02.01,腐乳类,category_name_exact,,甜蜜素: SAFE | 蔗糖素: RISK_OVERLIMIT | 脱氢乙酸及其钠盐: SAFE,RISK,3,H-type,H-type|O-type,L3_MIXED,False
partial-dataset-v1.0.0,47,请核查以下大豆素肉配方成分是否符合GB2760及相关食品安全标准：蔗糖素 0.5g/kg、甜菊糖苷 0.072g/kg、碳酸氢钾 0.1g/kg、丙酸及其钠盐、钙盐 2.0g/kg。,新型豆制品(大豆蛋白及其 膨 化 食 品、大豆素肉等),04.04.01.05,新型豆制品(大豆蛋白及其膨化食品、大豆素肉等),category_name_exact,,蔗糖素: RISK_OVERLIMIT | 甜菊糖苷: SAFE | 碳酸氢钾: RISK_FORBIDDEN | 丙酸及其钠盐、钙盐: SAFE,RISK,4,N-type,H-type|N-type|O-type,L3_MIXED,False
partial-dataset-v1.0.0,48,核查以下配方是否符合 GB2760：熏鲅鱼。硫酸亚铁 0.1g/kg、β-胡萝卜素 0.8g/kg、阿斯巴甜 0.5g/kg。,熏、烤水产品,09.04.03,熏、烤水产品,category_name_exact,,β-胡萝卜素: SAFE | 硫酸亚铁: RISK_FORBIDDEN | 阿斯巴甜: RISK_OVERLIMIT,RISK,3,N-type,H-type|N-type,L3_MIXED,False
partial-dataset-v1.0.0,49,核查以下腌制调理鱼片配方的合规性：β-胡萝卜素：0.9g/kg、普鲁兰多糖 24.0g/kg、纽甜 0.006g/kg、阿斯巴甜 0.5g/kg。,预制水产品(半成品),09.03,预制水产品(半成品),category_name_exact,,纽甜: SAFE | 普鲁兰多糖: SAFE | β-胡萝卜素: SAFE | 阿斯巴甜: RISK_OVERLIMIT,RISK,4,H-type,H-type,L2_SINGLE,False
partial-dataset-v1.0.0,50,核查以下千岛酱配方是否符合 GB2760添加要求：海藻酸丙二醇酯 5.0g/kg、决明胶 3g/kg。,蛋黄酱、沙拉酱,12.10.02.01,蛋黄酱、沙拉酱,category_name_exact,,海藻酸丙二醇酯: SAFE | 决明胶: RISK_OVERLIMIT,RISK,2,H-type,H-type,L2_SINGLE,False
partial-dataset-v1.0.0,51,请核查即食燕麦片配方中磷酸及磷酸盐（3.0g/kg）和抗坏血酸棕榈酸酯（0.3g/kg）、β-胡萝卜素（0.5g/kg）、阿斯巴甜（0.8g/kg）使用的合规性。,"即食谷物,包括碾轧燕麦(片)",06.06,"即食谷物,包括碾轧燕麦(片)",category_name_exact,,磷酸及磷酸盐: SAFE | 抗坏血酸棕榈酸酯: RISK_OVERLIMIT | β-胡萝卜素: RISK_OVERLIMIT | 阿斯巴甜: SAFE,RISK,4,O-type,O-type,L2_SINGLE,False
partial-dataset-v1.0.0,52,核查以下杂粮罐头配方是否符合 GB2760：乙二胺四乙酸二钠 0.15g/kg、甜菊糖苷 0.255g/kg、富马酸一钠 0.1g/kg。,杂粮罐头,06.04.02.01,杂粮罐头,category_name_exact,,乙二胺四乙酸二钠: SAFE | 甜菊糖苷: RISK_OVERLIMIT | 富马酸一钠: RISK_FORBIDDEN,RISK,3,N-type,N-type|O-type,L3_MIXED,False
partial-dataset-v1.0.0,53,请核查果蔬汁类饮料配方的合规性：安赛蜜 0.25g/kg、海藻酸丙二醇酯 2.5g/kg、β-环状糊精：0.6g/kg。,果蔬汁(浆)类饮料,14.02.03,果蔬汁(浆)类饮料,category_name_exact,,安赛蜜: SAFE | 海藻酸丙二醇酯: SAFE | β-环状糊精: RISK_OVERLIMIT,RISK,3,H-type,H-type,L2_SINGLE,False
partial-dataset-v1.0.0,54,请核查混合谷物脆配方中胭脂树橙0.105g/kg、阿斯巴甜0.6g/kg、β-胡萝卜素0.5g/kg、茶多酚0.15g/kg的使用是否符合GB2760标准。,"即食谷物,包括碾轧燕麦(片)",06.06,"即食谷物,包括碾轧燕麦(片)",category_name_exact,,"阿斯巴甜: SAFE | 胭脂树橙(又名红木素,降红木素): RISK_OVERLIMIT | β-胡萝卜素: RISK_OVERLIMIT | 茶多酚: SAFE",RISK,4,O-type,O-type,L2_SINGLE,False
partial-dataset-v1.0.0,55,请核查木薯布丁配方中日落黄及其铝色淀 0.016g/kg、纽甜 0.02g/kg、β-胡萝卜素 1.5g/kg 的使用是否符合 GB2760 标准。,"即食谷物,包括碾轧燕麦(片)",06.09,谷类和淀粉类甜品(如米布丁、木薯布丁),manual_mapping_or_correction,corrected: tapioca pudding is a cereal/starch dessert,纽甜: SAFE | 日落黄及其铝色淀: SAFE | β-胡萝卜素: RISK_OVERLIMIT,RISK,3,Easy-type,Easy-type,L1_EASY,True
partial-dataset-v1.0.0,56,请核查以下巧克力制品配方的合规性：靛蓝及其铝色淀 0.15g/kg、赤藓红及其铝色淀 0.03g/kg、阿斯巴甜 2.5g/kg、二氧化钛 2.5g/kg，依据GB2760标准。,巧克力和巧克力制品、除05.01.01以外的可可制品,05.01.02,巧克力和巧克力制品、除05.01.01以外的可可制品,category_name_exact,,赤藓红及其铝色淀: SAFE | 靛蓝及其铝色淀: RISK_OVERLIMIT | 阿斯巴甜: SAFE | 二氧化钛: RISK_OVERLIMIT,RISK,4,H-type,H-type|O-type,L3_MIXED,False
partial-dataset-v1.0.0,57,请核查以下配方是否符合GB2760：熟化干酪。含β-胡萝卜素 0.6g/kg、胭脂树橙 0.48g/kg、刺云实胶：10g/kg、纳他霉素 0.4g/kg。,熟化干酪,01.06.02,熟化干酪,category_name_exact,,"β-胡萝卜素: SAFE | 胭脂树橙(又名红木素,降红木素): SAFE | 刺云实胶: RISK_OVERLIMIT | 纳他霉素: RISK_OVERLIMIT",RISK,4,H-type,H-type,L2_SINGLE,False
partial-dataset-v1.0.0,58,请核查以下杂粮罐头配方是否符合 GB2760：叶黄素 0.03g/kg、蔗糖脂肪酸酯 1.2g/kg、磷酸及磷酸盐 2.0g/kg。,杂粮罐头,06.04.02.01,杂粮罐头,category_name_exact,,叶黄素: SAFE | 蔗糖脂肪酸酯: SAFE | 磷酸及磷酸盐: RISK_OVERLIMIT,RISK,3,Easy-type,Easy-type,L1_EASY,False
